name,img,captions,image_text
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (420).jpg,"a cat with its paw up and the capt reads, i hate my life", hate my life working to keep you alive:
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (828).jpg,a col of a man with a beard and a cat, Then Twilight Fatty Edison
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1450).jpg,a woman laying in bed with a man sleeping behind her, when you block him on all social media & he starts showing up in your dreams
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3871).jpg,a man in a tuxed tuxed tuxed tuxed tuxed tuxed tuxed tuxed, You're single because you are hot and everyone is scared of being rejected by you. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2888).jpg,a col of a man and woman with a child, Not all promises are fake Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3671).jpg,a man with a blue shirt and a white shirt with the words just because it ' s not social, Just because it's not on social media doesn't mean it's not happening. Sarcasm Private life = Happy life!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2325).jpg,i also have ex but i never their partner whos like money, also have an Ex new partner Who looks like a monkey
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4343).jpg,a man in a suit and tie with a quote on it," If earth rotates 30 times faster, what will happen? Sir we will receive our salary daily"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4162).jpg,a bee with the letter u on it ' s back, Always.. U Sarcasm
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (826).jpg,a person with a tie dye on their leg, i know you saw what i saw that's why we're friends
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2674).jpg,a cartoon dog with a cell phone in its mouth, Me after hearing my own voice recording FB/Sarcasmlol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4193).jpg,there two types of people in the word it ' s already 10pmm and it ' s only," people in the world: ""it's already 1Opm and ""it's only 10pm"" and they marry each other. Sarcasm"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (485).jpg,a tweet with the text ' what if we used to be? ', Mbalendo @Mbalendo3 What if we used 100% of our brains? 22:17 18 Jan 20 Twitter for Pouvoir 21 Retweets 303 Likes Malory x19 @Maloryremond. 19h Replying to @Mbalendo3 Create a netflix account on the 29th January so you can get the free month trial which ends on 29th February; But the is 29th Feb Only comes once in 4 years so BOOM! you have 4 years thing
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1163).jpg,a cartoon character with a birthday hat on his head, Does anyone actually know what you have to do when people are singing happy birthday to you?
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (543).jpg,a woman standing in front of a pile of rubble," Womensuesbar after gettingsodrunk sheblewup S1OMhome January 17, 2023 3.35pm Updated"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (264).jpg,a text message that reads ` ` ` ` ` ` ` ` ` ` ` ` ` ` `, 12.05 AM God made no one ugly  Thankyou so much Who the hell made you ? Aa GIF Write a message.
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4038).jpg,a text message that reads i love you, choice is very good. Sent Aa Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3851).jpg,a television sitting on top of a desk, Don't complain about slow internet Sarcasm We faced this
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2048).jpg,a smiley face with the words ` on normal day ', face On a normal On a special look beautiful! My day day
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1485).jpg,the simpsons is a meme, The professor's wife confronting him The professor about his affair Everyone else in the Zoom meeting: The girl with straight As
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1013).jpg,a goat on top of a building with mountains in the background, *Relatives in the house
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (428).jpg,a tweet of two coins with the words ' we are not going to the us '," Wall Street Silver @WallStre_ 15h Looks cool, not gonna lie 'puts important people and monuments on their coins* Meanwhile India: 7 RUPEE 350 1,258 16.4K Nifty John @JohnStrongHodl Replying to @WallStreetSilv There is a limited edition 1 rupee with middle finger. It's usually given to the people from UK as a sign of eternal gratitude 18.35 11 Dec 22 App"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1549).jpg,a lizard and a lizard kissing, when ur telling ur grandparents about ur job and have no clue what ur talking bout but re supportive they they'
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4015).jpg,girlfriend mememe boyfriend boyfriend boyfriend boyfriend boyfriend girlfriend girlfriend boyfriend girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend girlfriend," *Girlfriend updates her profile picture She replied: ""yours Boyfriend: Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2362).jpg,a man looking out the window with a quote on it," People see me sad and think it's relationship problem, FB /Sarcasmlol No man, need money!"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (723).jpg,"a picture of a man with a gun and a capt that reads, ` ` ` ` ` `", Henry Mishel American The first person to invent the concept of exam Wish time machine
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4253).jpg,me looking memes every day, Me looking at new memes every morning
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4105).jpg,whatsawfeire whatsafeires whatsafeires whatsafeires, WhatsApps new feature WhatsApp 0 CHATS STATUS CALLS Babe 11.06 pm Lying Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4672).jpg,"a text message that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` `", 23:19 love you Sarcasm You're the best gorilla I've ever had girlfriend* Sent Aa
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (415).jpg,a sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge,
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (143).jpg,a man sitting on top of a tank, When you're standing on the bus and the driver takes a hard 90 degrees turn
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3066).jpg,a cartoon cat with a bucket and a capt that reads going to grandma ' s house, Going to Grandma's house Sarcasm Coming back from Grandma's house
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3320).jpg,"a pokemon pokemon meme with the capt that says, ' student how have you been?? teacher", Student: How man years have you been teaching? Bananas? Teacher: Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (31).jpg,a man in a swimming pool with a woman in the background, RIP in advance
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4488).jpg,money doesn money money doesn money doesn money doesn money doesn money doesn money doesn money doesn money doesn money," ""Money doesn't give happiness"" Me with money: Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2708).jpg,a screenshot of a smiley face with the text ' this is how i see virtual ', This is how you sneeze virtually 800 PM 8-00 PM FB/SarcasmLol 8*01 PM
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2528).jpg,a text that reads he she, He: She: awwwww o
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (319).jpg,a lemon with a face made out of it, me: *smiles* teacher: why are you smiling me: nothing me in my head: lemonade
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (104).jpg,"a person with a red balloon and a white balloon with the words, ' paying to die '", PAYING $500 FOR A TRADING COURSE 17 Paying nothing to join stonk market Hoppi
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4859).jpg,"teacher do not from the textbook textbook on march 19, 2013 teacher do not from the textbook textbook on"," Teacher: Do not copy from the textbook. Textbook: Albert Einstein was born on 14 March 1879. Me: ""On 14 March 1879, Albert Einstein sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (273).jpg,this is the text that is in the text editor," This is the evilest thing can ever imagine! Computer USB DISK (K:) Chemistry Organize Open Share with Burn New fclder Dropbcx Name 1. Dear Sister 2 As revenge for stea my 520 Libraries Documents 4,In one of these folders Music 5. And guess what Pictures 6.All of these folders Videcs 7.Have3 sub-folders! 8. This should teach you not Homegroup 9. To steal me 10. So have Computer 11.If theres a lesson to be learned here HP (C:) FACTORY_IMAGI 13. With warm regards CD Drive (J:) 14. And hateful loathing and vengeance USB DISK (K:) 15. Your loving brother 16. Go die Netwvork aling from fun"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2798).jpg,a pear and a man with a mustache, William Pear Sarcasm
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (238).jpg,memess when you ' reting your name when you ' reting your name when you ', amazing 99 and cool person Me at 20 years old:
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (343).jpg,a person holding a cigarette in their hand," Making an Engagement Ring for my Fiancée. 5,111,533 vlews 165K Alec Steele Alec Steele 2 weeks ago Deleting because the b 51K REPLY"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (509).jpg,a picture of a man standing next to a bunch of motorcycles, Attention please guys Somebody forgot his vehicle in the parking. that friend and remind him. Tag
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (164).jpg,a cartoon picture of a man in a suit and tie,
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4237).jpg,a baby is sitting in the back seat of a car, Friends: be ready by 8 pm Me at 7:51 pm:
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (832).jpg,"a cell phone with the words, ' let water to make an image '", Allow Weather to make and manage phone calls? DENY ALLOW your phone calls Let manage
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3537).jpg,"a text message that reads, ` ' my girlfriend '", Goodmorning beautiful. Wake up do Delivered Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3864).jpg,"a text message that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` `", So you wanna hangout? 88 @ Aa Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1720).jpg,a pile of trash bags with the words teacher me yot 10 %, Teacher (to me) : You in the test Whole Class: *laughs* Teacher: It was the highest in the class ISarcasmlol got #Me
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1019).jpg,texting with a cat and a dog, opline Todoy Bro Help Me With This Chemicol Equation . Ok Tell Me m Expert In Chemistry = Bro..
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2539).jpg,a man with a face mask and the words evolution, EVOLUTION 2019 2020 2021
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1745).jpg,a child with a sad expression on his face," When you eat a happy meal, but you're still not happy"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1610).jpg,a girl with long hair and a white shirt, inside because my face gives it away; this is what | mean
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (376).jpg,a child sitting on a chair with a shadow of a person," never compare my kids to other kids, because that thing hurts."
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (36).jpg,a cat and a car with money on it, what women actually want: chonks Chart
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4860).jpg,a cartoon character is trying to get a cat, used to think my TV was too small to see her face clearly: sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2471).jpg,a man and woman kissing in the water, want my tears back
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3868).jpg,a cartoon character with a capt that reads ` ' need people in my life '," ""Ineed new people in my life"" Also me: NEW PEOPLE Sarcasm NEW PEOPLE"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2086).jpg,a screenshot of a text message with the capt that reads ` ` ` ` ` ` ` `, We need this update! New FB/SarcasmLol Isabella Screen captured your story: 6 minutes ago Joseph Wati Visited your timeline. 6 minutes ago she's not for you. 9 minutes ago Vistoria is secretly laughing at your profile picture. Would you like to report this Slapsoil?
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4443).jpg,a woman is putting her ear with a small black object," ear, when someone enters in your room of respect in 2Ist century"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3626).jpg,ask god to remove my enemies lost my girl, Asked god to remove my enemies & / lost my girl Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4845).jpg,the moon and the sun with caption," One on Mercury lasts for about 1,408 hours. sarcasm About the same as a common Monday on Earth. day"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4668).jpg,me looking at the money i ' veepn december so, Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4388).jpg,a man in an orange jacket is talking on his phone, Delivery 500 + Free Delivery
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1976).jpg,a quote that says i love chocolate red i gain this is how you fail, love cholocate. Read it again. This is how you fail your exams. FB/SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4302).jpg,a man in a suit laughing and holding a knife, I'm sorry to my future kids for the delay But it's just your mom ain't texting. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2685).jpg,a woman jumping off a plane into the air, Mom: if your bestfriend jumps out of a plane would you do it too Me:
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (419).jpg,"a baby sleeping on a blanket with the capt that says, when you ' re, you ' re", When your mom calls your name and you fake sleep and she tells someone else to do it
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (388).jpg,a man in a blue shirt is standing next to a glass building, A Masaii Tribe The United States After 9/11 Giving the United made with mematic
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2699).jpg,"a quote that says, ` ` ' ' ' ' ' ' ' ' ' ' ' ' '", Don't rush into a relationship. Be friends first. Maybe they have hotter friends.
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (688).jpg,a woman with a black hair and a white shirt, Europe from the spices to and colonize which made them stronger in the run: only
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3718).jpg,"two people sitting on an airplane with the capt saying, two people sitting on an airplane with the capt", FB /Sarcasmlol Two things I don't like: A disrespectful child and a Parent that thinks it's funny. Manners are very important!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1231).jpg,text messages that are too too, once Me too 1 April 18 July
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2740).jpg,a col col col col col col col col col col col col col col col col col col col, When | see my teacher in public
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1360).jpg,a man in a suit and tie standing in an office, Today know you assumed this would beinspirational but no its not.
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2745).jpg,two men standing next to each other man, automatically more attractive. FB /Sarcasmlol Beauty fades But Sarcasm is forever
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4540).jpg,"texting that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` ` `", need this kind of Confidence in my life hello   17.06 FB/Sarcasmlol you look good in profile picture whos this? 23.18 got your number from a whatsap group this is my girlfriends picture 23.20 It's ok 23.20 Give me her number then 23.21 hey boy
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (232).jpg,a group of people sitting on top of a boat, Sleeping Competition Held In Madrid sl
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4429).jpg,"a man with a beard and a beard, looking at the camera with the capt that reads, lo", Lol seriously; two unemployed lovers are expecting gifts from each other on Feb 14!!! Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (372).jpg,"a man with no shirt and no shirt on, with the capt that says after 2 years people will"," After 25 years people will post his picture saying And say, ""If you know this guy, then your childhood was awesome"""
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2010).jpg,a man in a green shirt and a man in a white shirt are standing next to a christmas tree," Principal: Your son always causes trouble here in school Dad: He always cause trouble at home, did | ever call FB /SarcasmLol *Principal Dad #Me you?"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2105).jpg,i also have ex but i never their partner whos like money, also have an Ex But I never judge their new partner Who looks like a monkey
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2531).jpg,a man sitting at a desk with a laptop and a cup, deadline Yesterday
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2272).jpg,a house with a pool and a white picketed fence, Your Plan God's Plan
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4453).jpg,a person holding a wallet with money inside, In a Single.
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1420).jpg,a screenshote texting message with the capt that reads ` ` ` ` ` ` ` `," ALI @AlilAce Since footballs been postponed, Ive a question for people who what the f*ck do you do with your weekends?! 12:42 14/03/2020 Twitter Web App"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1645).jpg,"a cartoon character with a capt that reads, ` ` ' ' ' ' ' ' ' ' '", Me after successfully ruining my him single again. f /Sarcasmlol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1484).jpg,"a woman who is not a person, is not a person", The Face After He Caught Her Cheating 4/22/20 213 Retweets 640 Likes Nell$ @King_Nells . 12h Replying i0 @KollegeKldd Had to read that again King
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3080).jpg,when you ' re from the person who you ' re from the person who you ' re from the, When nothing goes right Go to Sleep
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (163).jpg,how to say goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye goodbye, How to impress girl ~Respect her ~Protect her -Care for her How to impress boys -Just smile once! Game Over!
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (433).jpg,a woman is on the phone and is talking to someone, 11.29 Travellight 702K views 6 years ago Travellight OME VIDEOS PLAYLISTS COMMUNITY Sort by 419K views 1 year ago 11.31
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3493).jpg,a man and woman standing in front of a building, How Dom dresses for his own wedding How Dom dresses for the beach Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (385).jpg,a person holding a finger with the words we have that one friend, We all have that one genius friend
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1222).jpg,a dog and a cat are playing together, It all starts with a kiss
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2640).jpg,a woman in a red jacket talking to a soldier, leaving for Her: Don't talk to other girls over there Sarcasm *Guy war*
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3753).jpg,my mom is like a bank she keeps money she keeps money she keeps money she keeps money she keeps, mom is like a bank She keeps my money safe but | can't withdraw it anymore. Sarcasm My
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (247).jpg,a twitter account with a photo of a man in a red jacket, Replies Kurulus Osman English Tv . 4 mo ago No doubt Pakistani and Turkish people are brothers 220 crescentpie 2 mo ago ew no Translate to English (India) Faiz Muhammed 2 mo ago @crescentpie where is your hijab? Come marry me 5
